Name,University,Handle,Tweets,Followers,Country,DaysSinceLastTweet,DateLastTweet,Last.tweet,ESDcheck_notes,Dat. joined,Month.joined,Year.joined,Months.total,Gender,Level,
David Steen,Auburn,@AlongsideWild,13300,5529,US,0,30-Mar,13 s,,712,7,2012,33,m,Assistant,
Jon Witman,Brown,@WitmanLab,77,169,US,11,19-Mar,19-Mar,,313,3,2013,25,m,Professor,
Sarah Bisbing,Cal Poly,@SarahBisbing,1842,689,US,0,30-Mar,19h,RT,512,5,2012,35,f,Assistant,
Casey terHorst,Cal State Northridge,@EcoEvoLab,321,184,US,0,30-Mar,5 h,,1113,11,2013,17,m,Assistant,
Bill Sutherland,Cambridge,@Bill_Sutherland,1243,8561,UK,0,30-Mar,7h,,1211,12,2011,40,m,Professor,
Loren McClenachan,Colby College,@LMcClenachan,99,235,US,0,30-Mar,9h ,RT ,913,9,2013,19,f,Assistant,
Erik Sotka,College of Charleston,@ErikSotka,233,136,US,1,29-Mar,29-Mar,,112,1,2012,39,m,Professor,
Dan McGlinn,College of Charleston,@DanMcGlinn,1114,591,US,4,26-Mar,26-Mar,,811,8,2011,44,m,Assistant,
Rebecca Barnes,Colorado College,@waterbarnes,348,198,US,0,30-Mar,33 m,,714,7,2014,9,f,Assistant,
Liba Pejchar,Colorado State U,@TheLibaLab,191,222,US,0,30-Mar,8h,just tweeted,912,9,2012,31,f,Associate,
Joshua Drew,Columbia,@Drew_Lab,12500,2743,US,0,30-Mar,24 h,,512,5,2012,35,m,Assistant,Lecturer
Boris Worm,Dal,@CBCOceansguy,56,924,Canada,8,22-Mar,22-Mar,,313,3,2013,25,m,Professor,
Dan Chitwood,Michigan State U,@DanChitwood,2834,1259,US,0,30-Mar,1 h,,,,,,m,Assistant,
Kathy Cottingham,Dartmouth,@KathyCottingham,890,684,US,6,24-Mar,24-Mar,,413,4,2013,24,f,Professor,
Peter Macreadie,Deakin U,@PeterMacreadie,941,564,US,5,25-Mar,25-Mar,,213,2,2013,26,m,Associate,Senior Lecturer
Anthony Martin,Emory U,@ichnologist,26100,2314,US,0,30-Mar,7h,,1210,12,2010,52,m,Professor,
Mike Heithaus,FIU,@MikeHeithaus,351,697,US,3,27-Mar,27-Mar,RT,712,7,2012,33,m,Professor,
Paul Harnik,Franklin & Marshall College,@paulharnik,232,126,US,0,30-Mar,46 m,,1114,11,2014,5,m,Assistant,
Stephanie Pau,FSU,@stephanie_pau,29,26,US,4,26-Mar,26-Mar,,311,3,2011,49,f,Assistant,
Chris Parsons,George Mason U,@craken_MacCraic,25800,1916,US,0,30-Mar,23h,,212,2,2012,38,m,Associate,
Dries Bonte,Ghent U,@BonteDries,338,233,Belgium,6,24-Mar,24-Mar,,813,8,2013,20,m,Professor,
Simon Leather,Harper Adams U (UK),@EntoProf,11700,2851,UK,0,30-Mar,30 min,,1112,11,2012,29,m,Professor,
Domino Joyce,Hull U,@domino_joyce,4995,556,UK,1,29-Mar,29-Mar,,909,9,2009,67,f,Associate,Senior Lecturer
EJ Milner-Gulland,Imperial College,@EJMilnerGulland,322,1584,UK,8,22-Mar,22-Mar,,1112,11,2012,29,f,Professor,
Terry Hughes,JCU,@ProfTerryHughes,2107,1290,Australia,0,30-Mar,8h,,612,6,2012,34,m,Professor,
Josh Cinner,JCU,@JoshuaCinner,140,369,Australia,6,24-Mar,24-Mar,,1114,11,2014,5,m,Professor,
Sean Connolly,JCU,@ConnollySeanR,449,354,Australia,6,24-Mar,24-Mar,,712,7,2012,33,m,Professor,
Rob Cruickshank,Lincoln U NZ,@bugblokenz,4576,1378,New Zealand,0,30-Mar,10 h,,1113,11,2013,17,m,Associate,Senior Lecturer
John Kelly,Loyola U Chicago,@johnkellymicro,1037,218,US,3,27-Mar,27-Mar,,413,4,2013,24,m,Professor,
Megan Kelly,Loyola U Chicago,@_megmkelly_,3573,620,US,0,30-Mar,28 m,,409,4,2009,72,f,Assistant,
Jane Williamson,Macquarie U,@urchinhunter,717,327,Australia,5,25-Mar,25-Mar,,113,1,2013,27,f,Associate,
Andy Gonzalez,McGill,@bio_diverse,1365,872,Canada,0,30-Mar,1h,,212,2,2012,38,m,Professor,
Michael McCarthy,Melbourne U,@MickResearch,6116,2320,Australia,0,30-Mar,20 h,,212,2,2012,38,m,Professor,
David Lowry,Michigan State U,@DavidBLowry,1183,620,US,3,27-Mar,27-Mar,,710,7,2010,57,m,Assistant,
Richard Lenski,Michigan State U,@RELenski,3866,4157,US,0,30-Mar,5h,,813,8,2013,20,m,Professor,
Nick Whitney,Mote Marine Lab,@DrNickWhitney,469,1084,US,11,19-Mar,19-Mar,yep,912,9,2012,31,m,Assistant,
Jennifer Costanzo,NC State U,@jen_Costanza,189,139,US,2,28-Mar,28-Mar,RT,812,8,2012,32,f,Assistant,
Brian Helmuth,Northeastern U,@Aquanaut1967,215,143,US,3,27-Mar,27-Mar,RT,514,5,2014,11,m,Professor,
A. Randall Hughes,Northeastern U,@hughes_lab,206,121,US,3,27-Mar,27-Mar,,1214,12,2014,4,f,Associate,
Alex Perkins,Notre Dame,@TAlexPerkins,1120,322,US,0,30-Mar,6h,,912,9,2012,31,m,Assistant,
John McCormack,Occidental College,@Laevolving,4496,1017,US,3,27-Mar,27-Mar,,1011,10,2011,42,m,Associate,
Vincent Gauci,Open U,@GauciGauci,3382,599,UK,2,28-Mar,28-Mar,,1011,10,2011,42,m,Professor,
Elizabeth Jeffers,Oxford,@ElizSJeffers,1689,289,UK,1,29-Mar,29-Mar,,113,1,2013,27,f,Assistant,Lecturer
Martin Attrill,Plymouth U,@mjattrill,4414,1303,UK,0,30-Mar,2h,,512,5,2012,35,m,Professor,
Kerry Howell,Plymouth U,@DeepSeaEcol,2833,1111,UK,3,27-Mar,27-Mar,,312,3,2012,37,f,Associate,
John Hutchinson,Royal Vet College,@johnrhutchinson,21900,3565,UK,0,30-Mar,5h,,611,6,2011,46,m,Professor,
Andy Cooper,SFU,@QuantEcologyABC,887,639,UK,14,16-Mar,16-Mar,yep,613,6,2013,22,m,Associate,
Isabelle Cote,SFU,@redlipblenny,2139,2570,UK,3,27-Mar,27-Mar,,512,5,2012,35,f,Professor,
Emmett Duffy,Smithsonian,@JEmmettDuffy,427,930,US,10,20-Mar,20-Mar,,611,6,2011,46,m,Professor,
Steve Palumbi,Stanford,@spalumbi,261,2022,US,0,30-Mar,13h,,1111,11,2011,41,m,Professor,
Johan Eklof,Stockholm U,@jsEklof,362,251,Sweden,2,28-Mar,28-Mar,,911,9,2011,43,m,Assistant,
Jason West,Texas A&M,@DrJBWest,771,253,US,4,26-Mar,26-Mar,,512,5,2012,35,m,Associate,
Yvonne Buckley,Trinity College Dublin,@y_buckley,548,961,Ireland,5,25-Mar,25-Mar,,111,1,2011,51,f,Professor,
Ian Donohue,Trinity College Dublin,@donohueian,469,508,Ireland,1,29-Mar,29-Mar,,312,3,2012,37,m,Associate,
Natalie Cooper,Trinity College Dublin,@nhcooper123,7504,1658,Ireland,0,30-Mar,5 h,,812,8,2012,32,f,Assistant,
Chris Harrod,U Antofagasta Chile,@chris_harrod,5700,754,Chile,0,30-Mar,31 min,,611,6,2011,46,m,Professor,
Brian Enquist,U Arizona,@bjenquist,1227,697,US,0,30-Mar,23 h,,814,8,2014,8,m,Professor,
Mike Kaiser,U Bangor,@micheljkaiser,323,700,UK,0,30-Mar,13 h,,311,3,2011,49,m,Professor,
Daniel Stouffer,U Canterbury,@StoufferLab,310,308,UK,2,28-Mar,28-Mar,RT,611,6,2011,46,m,Associate,
Joshua King,U Central FL,@AntLabUCF,1978,444,US,0,30-Mar,1 h,,313,3,2013,25,m,Associate,
Kendi Davies,U Colorado,@Davieskf,151,374,US,10,20-Mar,20-Mar,RT,713,7,2013,21,f,Assistant,
Morgan Tingley,U Conn,@mwtingley,2330,735,US,6,24-Mar,24-Mar,,129,12,2009,64,m,Assistant,
Nate Sanders,U Copenhagen,@Nate_J_Sanders,1336,772,Denmark,6,24-Mar,24-Mar,,111,1,2011,51,m,Professor,
Aimee Classen,U Copenhagen,@aimeeclassen,1485,631,Denmark,3,27-Mar,27-Mar,,112,1,2012,39,f,Associate,
Brendan Godley,U Exeter,@BrendanGodley,6716,7265,UK,3,27-Mar,27-Mar,,1212,12,2012,28,m,Professor,
Ceri Lewis,U Exeter,@CezzaLew,6344,1564,UK,3,27-Mar,27-Mar,,211,2,2011,50,f,Associate,Sr Lecturer
John Wares,U Georgia,@wareslab,1060,449,US,0,30-Mar,19 h,,314,3,2014,13,m,Associate,
Lars Gamfeldt,U Gothemburg,@Gamfeldt,1735,369,Sweden,2,28-Mar,28-Mar,,1011,10,2011,42,m,Assistant,
Luke Harmon,U Idaho,@lukejharmon,550,1954,US,7,23-Mar,23-Mar,,111,1,2011,51,m,Associate,
Nadia Aubin-Horth,U Laval,@naubinhorth,2911,651,Canada,0,30-Mar,2h,,211,2,2011,50,f,Associate,
Daniel Gruner,U Maryland,@GrunerLab,1320,414,US,0,30-Mar,31 m,,1212,12,2012,28,m,Associate,
Don Boesch,U Maryland,@DonBoesch,3604,994,US,0,30-Mar,15h,,411,4,2011,48,m,Professor,
Karen Lips,U Maryland,@kwren88,13700,2201,US,0,30-Mar,6h,,311,3,2011,49,f,Professor,
Jared Byrnes,U Mass,@jebyrnes,5463,2863,US,0,30-Mar,20 h,,209,2,2009,74,m,Assistant,
Jennifer Bowen,U Mass,@BowenLab1,206,175,US,3,27-Mar,27-Mar,RT,614,6,2014,10,f,Associate,
Jesica Carilli,U Mass,@jess_carilli,5994,955,US,0,30-Mar,13 h,,1011,10,2011,42,f,Assistant,
Allen Gontz,U Mass,@AllenGontz,87,26,US,0,30-Mar,11h,,614,6,2014,10,m,Professor,
Neil Hammerschlag,U Miami,@DrNeilHammer,4843,3259,US,0,30-Mar,7h,,1011,10,2011,42,m,Assistant,
Meghan Duffy,U Michigan,@duffy_ma,13600,2833,US,0,30-Mar,2h,,112,1,2012,39,f,Associate,
Elizabeth Borer,U Minn,@e_borer,1157,519,US,2,28-Mar,28-Mar,,114,1,2014,15,f,Professor,
Chris Pires,U Missouri,@JChrisPires,43700,3490,US,0,30-Mar,21h,,611,6,2011,46,m,Professor,
Scott Collins,U New Mex,@ESA_Prez2013,235,509,US,2,28-Mar,28-Mar,,912,9,2012,31,m,Professor,
Alex Ford,U Portsmouth,@DrAlexFord,3597,590,UK,2,28-Mar,28-Mar,,112,1,2012,39,m,Professor,
Mark Bertness,U Rhode Island,@mbertness,644,420,US,7,23-Mar,23-Mar,*Mark Bertness has 2 Twitter accts - personal + lab,810,8,2010,56,m,Professor,
Michael Habib,U So Cal,@aeroevo,3835,913,US,0,30-Mar,12 h,,412,4,2012,36,m,Assistant,
Chris Stallings,U South FL,@fishecologylab,34,56,US,4,26-Mar,26-Mar,,1214,12,2014,4,m,Assistant,
Dave Patterson,U St Andrews,@marbef22,196,147,UK,0,30-Mar,22 h,RT,911,9,2011,43,m,Professor,
Mike Webster,U St Andrews,@mikemwebster,369,510,UK,0,30-Mar,16h,RT,1011,10,2011,42,m,Assistant,Lecturer
Garry Peterson,U Stockholm,@resilienceSci,4850,2983,Sweden,3,27-Mar,27-Mar,,910,9,2010,55,m,Professor,
Scott Merrill,U Vermont,@BugDoc_Scott,76,10,US,12,18-Mar,18-Mar,,811,8,2011,44,m,Assistant,
Carol Adair,U Vermont,@ecadair,830,183,US,0,30-Mar,5h,,1011,10,2011,42,f,Assistant,
Josh Neufeld,U Waterloo,@joshdneufeld,4544,2831,Canada,2,28-Mar,28-Mar,,311,3,2011,49,m,Professor,
Carlos Duarte,U West Austr,@duarteoceans,1071,1555,Australia,3,27-Mar,27-Mar,,313,3,2013,25,m,Professor,
Steve Carpenter,U Wisc,@FreshwaterSteve,1261,1232,US,0,30-Mar,11h,,711,7,2011,45,m,Professor,
Amanda Vincent,UBC,@AmandaVincent1,1785,1255,Canada,4,26-Mar,26-Mar,,511,5,2011,47,f,Professor,
Sarah Otto,UBC,@sarperotto,72,760,Canada,3,27-Mar,27-Mar,RT,514,5,2014,11,f,Professor,
Kai Chan,UBC,@KaiChanUBC,782,987,Canada,0,30-Mar,1h,,511,5,2011,47,m,Professor,
Mary O'Connor,UBC,@OConnorLab,71,142,Canada,0,30-Mar,21h,,614,6,2014,10,f,Associate,
Mary O'Connor,UBC,@mioconnor,306,288,Canada,2,28-Mar,28-Mar,,211,2,2011,50,f,Associate,
Douglas McCauley,UC Santa Barbara,@McCauley_Lab,164,359,US,11,19-Mar,19-Mar,,714,7,2014,9,m,Assistant,
Kate Jones,UCL,@ProfKateJones,1846,2197,UK,0,30-Mar,12h,,510,5,2010,59,f,Professor,
Bill Pawlik,UNC,@PawlikLab,361,338,US,8,22-Mar,22-Mar,RT,613,6,2013,22,m,Professor,
Jeff Corbin,Union College,@jeff_d_corbin,2602,542,UK,0,30-Mar,3h,,212,2,2012,38,m,Associate,
Fernando Maestre,University Rey Juan Carlos,@ftmaestre,1223,465,Spain,0,30-Mar,49 m,,712,7,2012,33,m,Associate,
David Warton,UNSW,@ecostats,412,372,Australia,4,26-Mar,26-Mar,,313,3,2013,25,m,Professor,
Amy Parachnowitsch,Uppsala U,@EvoEcoAmy,4723,1867,Sweden,3,27-Mar,27-Mar,,213,2,2013,26,f,Assistant,Researcher
Trevor Branch,UW,@TrevorABranch,17100,2815,US,0,30-Mar,19s,,1211,12,2011,40,m,Associate,
Jack Williams,U Wisc,@IceageEcologist,1678,1890,US,2,28-Mar,28-Mar,,311,3,2011,49,m,Professor,
Joel McGlothlin,V Tech,@joelmcglothlin,2912,1551,US,0,30-Mar,23 h,,110,1,2010,63,m,Assistant,
Cara Fiore,Woods Hole,@clfiore1,155,186,US,0,30-Mar,6h,,1214,12,2014,4,f,Assistant,